"TASK_TYCD","KEY_MSG","KEY","MSG","LANG_CD"
common,common.label.find.id.password=Find ID/Password,common.label.find.id.password,Find ID/Password,en
common,common.label.finish=Complete,common.label.finish,Complete,en
common,common.label.forum=Discussion,common.label.forum,Discussion,en
common,common.label.fundamental.sys=Non-lecture,common.label.fundamental.sys,Non-lecture,en
common,common.label.go.to.previous=Back,common.label.go.to.previous,Back,en
common,common.label.going=Progress,common.label.going,Progress,en
common,common.label.grade=Grade,common.label.grade,Grade,en
common,common.label.going.stage=Progress stage,common.label.going.stage,Progress stage,en
common,common.label.grade.bad=No,common.label.grade.bad,No,en
common,common.label.grade.good=Yes,common.label.grade.good,Yes,en
common,common.label.grade.normal=Normal,common.label.grade.normal,Normal,en
common,common.label.grade.very_bad=Very bad,common.label.grade.very_bad,Very bad,en
common,common.label.grade.very_good=Very good,common.label.grade.very_good,Very good,en
common,common.label.highest.score=Highest score,common.label.highest.score,Highest score,en
common,common.label.hundred.score.standard=100 points standard,common.label.hundred.score.standard,"100 points standard",en
common,common.label.input.feedback=Please enter your feedback,common.label.input.feedback,Please enter your feedback,en
common,common.label.join=Join,common.label.join,Join,en
common,common.label.join.actl.cnt=Number of joined posts,common.label.join.actl.cnt,Number of joined posts,en
common,common.label.join.actl_cmnt.cnt=Number of participation posts(comments),common.label.join.actl_cmnt.cnt,Number of participation posts(comments),en
common,common.label.join.bbs.search=Search posts,common.label.join.bbs.search,Search posts,en
common,common.label.join.cmnt.cnt=Comments number,common.label.join.cmnt.cnt,Comments number,en
common,common.label.join.dt=Join date,common.label.join.dt,Join date,en
common,common.label.join.dttm=Join datetime,common.label.join.dttm,Join datetime,en
common,common.label.join.team=Join team,common.label.join.team,Join team,en
common,common.label.join.type=Join type,common.label.join.type,Join type,en
common,common.label.join.yn=Join Y/N,common.label.join.yn,Join Y/N,en
common,common.label.last.report=Final report,common.label.last.report,Final report,en
common,common.label.last.rpt=Final,common.label.last.rpt,Final,en
common,common.label.lateness=Late,common.label.lateness,Late,en
common,common.label.submit.lateness=Late submission,common.label.submit.lateness,Late submission,en
common,common.label.learn.encourage=Encourage learning,common.label.learn.encourage,Encourage learning,en
common,common.label.learner=Learner,common.label.learner,Learner,en
common,common.label.studying.screen.move=Goto study screen,common.label.studying.screen.move,Goto study screen,en
common,common.label.learner.management=Learner Management,common.label.learner.management,Learner Management,en
common,common.label.lecture=Lecture,common.label.lecture,Lecture,en
common,common.label.lecture.content=Lecture content,common.label.lecture.content,Lecture content,en
common,common.label.lecture.desc=Lecture description,common.label.lecture.desc,Lecture description,en
common,common.label.lecture.form=Lecture type,common.label.lecture.form,Lecture type,en
common,common.label.lecture.list=Lecture list,common.label.lecture.list,Lecture list,en
common,common.label.lecture.period=Lecture period,common.label.lecture.period,Lecture period,en
common,common.label.lecture.period.invalid.yn=Lecture period not registered,common.label.lecture.period.invalid.yn,Lecture period not registered,en
common,common.label.lecture.preview=Preview lecture,common.label.lecture.preview,Preview lecture,en
common,common.label.lecture.term=Lecture time,common.label.lecture.term,Lecture time,en
common,common.label.lesson.cnts=Time,common.label.lesson.cnts,Time,en
common,common.label.lesson.open.cnts=Open lesson,common.label.lesson.open.cnts,Open lesson,en
common,common.label.lesson.learn.cnts=Study lesson,common.label.lesson.learn.cnts,Study lesson,en
common,common.label.list.createdt=Created date,common.label.list.createdt,Created date,en
common,common.label.list.filenm=Filename,common.label.list.filenm,Filename,en
common,common.label.list.root=ROOT,common.label.list.root,ROOT,en
common,common.label.list.size=Size,common.label.list.size,Size,en
common,common.label.location=Location,common.label.location,Location,en
common,common.label.log=Log,common.label.log,Log,en
common,common.label.lowest.score=Min score,common.label.lowest.score,Min score,en
common,common.label.major.basics=Major Basics,common.label.major.basics,Major Basics,en
common,common.label.major.choice=Choose major,common.label.major.choice,Choose major,en
common,common.label.major.essential=Major essential,common.label.major.essential,Major essential,en
common,common.label.menu.desc=Menu description,common.label.menu.desc,Menu description,en
common,common.label.multi.choice.grid.list=This is a multiple choice grid list.,common.label.multi.choice.grid.list,This is a multiple choice grid list.,en
common,common.label.mut.eval.score=Grading Management,common.label.mut.eval.score,Grading Management,en
common,common.label.mut.eval.manage=Mutual Evaluation Management,common.label.mut.eval.manage,Mutual Evaluation Management,en
common,common.label.mut.evaluation=Mutual Evaluation,common.label.mut.evaluation,Mutual Evaluation,en
common,common.label.lecture.report.breakdown=Check grades by lecture,common.label.lecture.report.breakdown,Check grades by lecture,en
common,common.label.my.position=My level,common.label.my.position,My level,en
common,common.label.no.limit=No limit,common.label.no.limit,No limit,en
common,common.label.none=No,common.label.none,No,en
common,common.label.none.reflect=Not reflected,common.label.none.reflect,Not reflected,en
common,common.label.none.regular=irregular,common.label.none.regular,irregular,en
common,common.label.normal=general,common.label.normal,general,en
common,common.label.nosubmit_filter=Non-submitter,common.label.nosubmit_filter,Non-submitter,en
common,common.label.noabsentee_filter=Non-participant,common.label.noabsentee_filter,Non-participant,en
common,common.label.not.allow=not allowed,common.label.not.allow,not allowed,en
common,common.label.not.join=Non-participant,common.label.not.join,Non-participant,en
common,common.label.join=Participant,common.label.join,Participant,en
common,common.label.not.attend=Non-participant,common.label.not.attend,Non-participant,en
common,common.label.attend=Participant,common.label.attend,Participant,en
common,common.label.notsuppoted_file=This file format does not support content viewing and document conversion.,common.label.notsuppoted_file,This file format does not support content viewing and document conversion.,en
common,common.label.view=View content,common.label.view,View content,en
common,common.label.of=of,common.label.of,of,en
common,common.label.and=and,common.label.and,and,en
common,common.label.offline=offline,common.label.offline,offline,en
common,common.label.online=online,common.label.online,online,en
common,common.label.open.crs=Open lecture,common.label.open.crs,Open lecture,en
common,common.label.open.dt=Open date,common.label.open.dt,Open date,en
common,common.label.open.result=Open result,common.label.open.result,Open result,en
common,common.label.open_yn=No-open,common.label.open_yn,No-open,en
common,common.label.operator.management=Admin manage,common.label.operator.management,Admin manage,en
common,common.label.otp.authnum.confirm=Confirm OTP authentication number,common.label.otp.authnum.confirm,Confirm OTP authentication number,en
common,common.label.otp.authnum.notconfirm=OTP authentication number not confirmed,common.label.otp.authnum.notconfirm,OTP authentication number not confirmed,en
common,common.label.otp.check.manager.confirm=You can log in after administrator approval.<br>Please contact the system management team.,common.label.otp.check.manager.confirm,You can log in after administrator approval.<br>Please contact the system management team.,en
common,common.label.otp.info=OTP Login,common.label.otp.info,OTP Login,en
common,common.label.otp.key=Authentication Key,common.label.otp.key,Authentication Key,en
common,common.label.otp.need.num=Enter the authentication number.,common.label.otp.need.num,Enter the authentication number.,en
common,common.label.otp.num=OTP authentication number,common.label.otp.num,OTP authentication number,en
common,common.label.otp.num.issue.login=Please log in after receiving the OTP authentication number.,common.label.otp.num.issue.login,Please log in after receiving the OTP authentication number.,en
common,common.label.otp.num.need.approv=The issued key can be used after administrator approval.,common.label.otp.num.need.approv,The issued key can be used after administrator approval.,en
common,common.label.otp.num.notissued=OTP authentication number not issued,common.label.otp.num.notissued,OTP authentication number not issued,en
common,common.label.otp.qrnum.regist=Enter the key issued to the OTP authentication app or scan the QR code to register and log in.,common.label.otp.qrnum.regist,Enter the key issued to the OTP authentication app or scan the QR code to register and log in.,en
common,common.label.page.nm=Page name,common.label.page.nm,Page name,en
common,common.label.parent.code=Parent code,common.label.parent.code,Parent code,en
common,common.label.password=Password,common.label.password,Password,en
common,common.label.plan=Textbook,common.label.plan,Textbook,en
common,common.label.plus_minus.batch_scoring=Add/subtract overall score,common.label.plus_minus.batch_scoring,Add/subtract overall score,en
common,common.label.prev.team.bring=Get previous team,common.label.prev.team.bring,Get previous team,en
common,common.label.previous=previous,common.label.previous,previous,en
common,common.label.prof.no=Profesor number,common.label.prof.no,Profesor number,en
common,common.label.prof.nm=Profesor,common.label.prof.nm,Profesor,en
common,common.label.tutor.no=Tutor number,common.label.tutor.no,Tutor number,en
common,common.label.tutor.nm=Tutor,common.label.tutor.nm,Tutor,en
common,common.label.profile.manage=Profile,common.label.profile.manage,Profile,en
common,common.label.proj=Team activity,common.label.proj,Team activity,en
common,common.label.project=Project,common.label.project,Project,en
common,common.label.popup.rolling.preview=Preview only shows images that are active and in use.,common.label.popup.rolling.preview,Preview only shows images that are active and in use.,en
common,common.label.public.subject=Public subject,common.label.public.subject,Public subject,en
common,common.label.push.use=Use push notifications.,common.label.push.use,Use push notifications.,en
common,common.label.qsnt=Question,common.label.qsnt,Question,en
common,common.label.qstn.count=Number of questions,common.label.qstn.count,Number of questions,en
common,common.label.qstn.title=Question title,common.label.qstn.title,Question title,en
common,common.label.random.method=Random method,common.label.random.method,Random method,en
common,common.label.random.select=Random select,common.label.random.select,Random select,en
common,common.label.rate.dttm=Rate date and time,common.label.rate.dttm,Rate date and time,en
common,common.label.alternate.assessment=Alternate assessment,common.label.alternate.assessment,Alternate assessment,en
common,common.label.alternate=Alter,common.label.alternate,Alter,en
common,common.label.re.request.trans.pdf=Request PDF conversion,common.label.re.request.trans.pdf,Request PDF conversion,en
common,common.label.ready=Ready,common.label.ready,Ready,en
common,common.label.reexam=Reexam,common.label.reexam,Reexam,en
common,common.label.reexam.application.rate=Re-exam Application Rate,common.label.reexam.application.rate,Re-exam Application Rate,en
common,common.label.reexam.period=Reexam period,common.label.reexam.period,Reexam period,en
common,common.label.reference.data=References,common.label.reference.data,References,en
common,common.label.refine.choice=Choice of Liberal Arts,common.label.refine.choice,Choice of Liberal Arts,en
common,common.label.refine.essential=General education essential,common.label.refine.essential,General education essential,en
common,common.label.reflect.ratio=Reflection ratio,common.label.reflect.ratio,Reflection ratio,en
common,common.label.reg.dttm=Registration date,common.label.reg.dttm,Registration date,en
common,common.label.reg.ip=Connect IP,common.label.reg.ip,Connect IP,en
common,common.label.register.course=Enrollment,common.label.register.course,Enrollment,en
common,common.label.register.course.yn=Enrollment Y/N,common.label.register.course.yn,Enrollment Y/N,en
common,common.label.register.course.state=Enrollment status,common.label.register.course.state,Enrollment status,en
common,common.label.regular=General,common.label.regular,General,en
common,common.label.reject=Reject,common.label.reject,Reject,en
common,common.label.request=Request,common.label.request,Request,en
common,common.label.approve = Approve,common.label.approve , Approve,en
common,common.label.cancel=Cancel,common.label.cancel,Cancel,en
common,common.label.no.applicate=Not applied,common.label.no.applicate,Not applied,en
common,common.label.request.submit=Submission request,common.label.request.submit,Submission request,en
common,common.label.request.resubmit=Resubmission request,common.label.request.resubmit,Resubmission request,en
common,common.label.resh=Survey,common.label.resh,Survey,en
common,common.label.resh.manage=Survey Management,common.label.resh.manage,Survey Management,en
common,common.label.resh.editing=Survey Edit,common.label.resh.editing,Survey Edit,en
common,common.label.resubmit=Resubmit,common.label.resubmit,Resubmit,en
common,common.label.sample.download=Sample download,common.label.sample.download,Sample download,en
common,common.label.score.all=Total score,common.label.score.all,Total score,en
common,common.label.score=Score,common.label.score,Score,en
common,common.label.score.adjust=Grade Processing,common.label.score.adjust,Grade Processing,en
common,common.label.score.reconfirm.yn=Request score recheck,common.label.score.reconfirm.yn,Request score recheck,en
